M,F
man,woman
father,mother
boy,girl
uncle,aunt
husband,wife
actor,actress
prince,princess
waiter,waitress
rooster,hen
stallion,mare
actor,actress
author,authoress
bachelor,spinster
boy,girl
bridegroom,bride
brother,sister
conductor,conductress
count,countess
czar,czarina
dad,mum
daddy,mummy
duke,duchess
man,woman
emperor,empress
father,mother
god,goddess
grandfather,grandmother
heir,heiress
hero,heroine
host,hostess
husband,wife
king,queen
man,woman
master,mistress
murderer,murderess
nephew,niece
poet,poetess
policeman,policewoman
prince,princess
sir,madam
son,daughter
uncle,aunt
wizard,witch
waiter,waitress
buck,doe
stallion,mare
ram,ewe
boar,sow
rooster,hen
drake,duck
bull,cow
gander,goose
fox,vixen
tiger,tigress
lion,lioness
actor,actress
air steward,air stewardess
barman,barmaid
boy,girl
boy scout,girl guide
bridegroom,bride
bus conductor,bus conductress
chairman,chairwoman
gentleman,lady
headmaster,headmistress
hero,heroine
host,hostess
husband,wife
king,queen
landlord,landlady
lord,lady
man,woman
monk,nun
prince,princess
steward,stewardess
waiter,waitress
widower,widow
father,mother
grandfather,grandmother
son,daughter
brother,sister
uncle,aunt
nephew,niece
man,woman
father,mother
boy,girl
uncle,aunt
husband,wife
actor,actress
prince,princess
waiter,waitress
rooster,hen
stallion,mare
